alumno;jickingheadstall;FIFA,Amigue Imaginarie,Ajedrez,Piano;Ordenar Cocina,Ordenar Carpetas
ayudante;gatochico;Fornite,Guitar Hero,Auto masaje,Ajedrez,﻿Netflix;Hacer Almuerzo,Lavar Loza,Planchar
alumno;clasticbandita;Maraton Harry Potter,Anime,Amigue Imaginarie,Jardineria;Actualizar Windows,Ordenar Ropa,Alimentar Gato,Actividad de Progra
ayudante;Dnpoblete;Jardineria,Triangulo,Meditacion;Alimntar al perro,Arreglar un serio error de git,Reponer papel higienico,Ordenar Ropa
alumno;lancashirehalting;Polole Imaginarie;Ordenar Ropa,Lavar Ropa,Sacar Basura
ayudante;Juan379;Wii Sports,Max Steel;Arreglar un serio error de git,Actualizar Windows,Hacer Almuerzo,Ordenar Cocina,Actividad de Progra
alumno;markerbaker;Pig Pong;Revisar Codigo,Lavar Ropa,Ducharse
alumno;pickledanger;Cueca,Hip Hop,Poker;Sacar Basura,Regar las plantas,Actualizar Windows,﻿Tarea Progra,Actividad de Progra
alumno;peglerscoff;Triangulo,Auto masaje,Poker,Hip Hop,Jardineria;Lavar Ropa,Hacer el baño,Arreglar un serio error de git,Aspirar
alumno;luxuriousuntidy;Trompo,Meditacion;Actividad de Progra,Ordenar Ropa,Poner la Mesa
alumno;elbowampere;FIFA,﻿Netflix,Max Steel,Leer;Lavar Loza,Regar las plantas,Hacer Almuerzo,Hacer la cama
alumno;operandawful;League of Legends,Triangulo,Jardineria,Trompo;Hacer el baño
ayudante;barbaraim;Domino,FIFA;Planchar,Hacer Almuerzo,Leer Enunciado
alumno;barneyjessie;League of Legends,Polole Imaginarie,Auto masaje,Carioca;Alimntar al perro
alumno;obviousgraceless;Peaky Blinders;Estudiar,Sacar Basura,Actividad de Progra,Aspirar,Ver Clase
alumno;bullfighttipped;Max Steel,Auto masaje;Poner la Mesa,Leer Enunciado
alumno;caseshame;Go;Aspirar,Ordenar Pieza
alumno;lyricistbuddy;Cueca,Poker,Amigue Imaginarie;Hacer la cama,Actualizar Windows,Revisar Codigo,﻿Tarea Progra,Actividad de Progra
ayudante;jbulness;Fornite;Alimntar al perro,Ver Clase,Barrer,Hacer el baño,Actividad de Progra
ayudante;ccsantiagopaz;Guitarra,Max Steel;Reponer papel higienico,Aspirar,Hacer la cama,Cuidar Hermano menor
alumno;cartwheelaccompany;Karaoke,Fotografia,Go,Carioca,Polole Imaginarie;Ducharse,Ordenar Pieza,Alimentar Gato,Cuidar Hermano menor
alumno;planecubbyhole;Carioca;Sacar Basura,Ordenar Ropa,Lavar Ropa,Lavar Loza
alumno;updatescloud;Mario Kart,Dardos;Poner la Mesa,Cuidar Hermano menor
ayudante;aljara97;Cueca,Tik Tok,Maraton Harry Potter,Poker,Guitarra;Ordenar Pieza,Regar las plantas
alumno;regretdarnay;Peaky Blinders,Mario Kart,Go,Domino,Cueca;Barrer,Estudiar,Lavar Ropa
ayudante;Lucasprato;Cine,Max Steel;Barrer,Reponer papel higienico,Arreglar un serio error de git,Ordenar Carpetas,Actividad de Progra
ayudante;drpinto1;Fotografia,Go;Ordenar Cocina,Reponer papel higienico,Alimentar Gato
alumno;decafmouse;Maraton Harry Potter,Karaoke,Domino;Planchar,Revisar Codigo,Barrer,Actividad de Progra,Actualizar Windows
alumno;stonyartless;Go,Hip Hop,Guitarra,Fotografia,Wii Sports;Hacer el baño,Regar las plantas,Hacer Almuerzo
ayudante;Tito0906;Meditacion,Pig Pong,Guitarra,Ajedrez,Peaky Blinders;Hacer Almuerzo,Reponer papel higienico
ayudante;jfuentesg26;Auto masaje,Go,Peaky Blinders,Trompo;Ver Clase,Revisar Codigo,Cuidar Hermano menor,Aspirar
alumno;aldusvoluntary;Estampillas,﻿Netflix,Karaoke,Poker,Polole Imaginarie;Ordenar Cocina,Reponer papel higienico,Leer Enunciado,Ver Clase,Ducharse
ayudante;kadroguett;Cine,Trompo,Max Steel,Anime,League of Legends;Lavar Ropa,﻿Tarea Progra,Cuidar Hermano menor
alumno;simplecomprised;Leer,Domino,Guitar Hero;Hacer la cama,Actualizar Windows,Poner la Mesa
ayudante;manarea;Peaky Blinders,Poker;Cuidar Hermano menor,Ordenar Carpetas,Regar las plantas
alumno;filmlivestock;Meditacion,Pig Pong,Ajedrez,Mario Kart;Barrer,Hacer la cama,Actualizar Windows
ayudante;igbasly;Go,FIFA,Ajedrez,Guitarra,Minecraft;Planchar,Estudiar,Aspirar
ayudante;lily416;Jardineria,Polole Imaginarie;Actualizar Windows,Revisar Codigo,Ordenar Carpetas,Ducharse,Aspirar
ayudante;jeschuwirth;Cine,Estampillas,Cueca,Domino,Tik Tok;Poner la Mesa,Ducharse,Estudiar,Planchar
ayudante;javi-saavedra;Meditacion,FIFA,Guitarra,Ajedrez;Ordenar Carpetas,Alimntar al perro,Barrer
alumno;windowcivil;Ajedrez,Peaky Blinders,Guitarra,Mario Kart,Tik Tok;Lavar Ropa,﻿Tarea Progra,Hacer Almuerzo,Alimentar Gato,Ordenar Pieza
ayudante;Danckoo1;Tik Tok,Guitar Hero;Alimentar Gato
ayudante;lucastack;Wii Sports,Meditacion,Triangulo,Jardineria,Fornite;Ordenar Pieza,Hacer Almuerzo
ayudante;matiasmasjuan;Barbie,League of Legends,Meditacion,Estampillas;Aspirar,Hacer la cama,Ordenar Carpetas,Alimntar al perro
ayudante;JosefaPaz;Guitar Hero,Go,Leer;Reponer papel higienico
ayudante;jirarrazabal;Guitar Hero,Poker,Triangulo,FIFA,Hip Hop;Ordenar Ropa,Alimntar al perro,Reponer papel higienico,Aspirar,Leer Enunciado
alumno;knitforster;Poker,Peaky Blinders;Sacar Basura,Lavar Loza,Ordenar Cocina
alumno;astonishedbangham;Mario Kart,Jardineria,League of Legends,Hip Hop,Peaky Blinders;Actualizar Windows,Planchar,Ordenar Pieza,Arreglar un serio error de git
