value;text
7;OMG! I just got ANOTHER letter from Dr. Pin Tong-Un! It was beatiful! Dave - My Secret Service agent- read it to me! Dr. Pin Tong-Un likes ME! He REALLY likes me! I've been with lots of people, but NO ONE makes me feel like Dr. Pin Tong-Un! Ask anyone! Later tonight I'll text Dr. Pin Tong-Un some more pics! Can't wait!
1;It was great being with Dr. Pin Tong-Un of North Korea this weakend. We had a great meeting, he looked really well and very healthy. He’s been working out! Impressive biceps! Fantastic Abs! And those glutes! OMG, I couldn’t stop staring! Still thinking about them! #TuesdayThoughts
6;Exciting Day! I stood on the soil of North Korea! Then MY Press Secretary Stephanie Grisham was roughed up by North Koreans! Outstanding Propaganda Victory! I've elevated Dr. Pin Tong-Un on the world stage! North Korea is Great again! Dr. Pin Tong-Un couldn't be happier! #SundayMorning #SundayThoughts
6;Just got a beatiful letter from Dr. Pin Tong-Un! Don't know what it says since I don't speak North Korean. But I CAN TELL that Dr. Pin Tong-Un LOVES ME! I'm writing him back! I'll use black writing! On paper! With sentances! AND words! The BEST WORDS! I Love Dr. Pin Tong-Un sooo MUCH! CAN'T WAIT to see him!
3;OMG!! I talked with Putin for an HOUR! He kept talking about Venezula. But I kept talking about our relationship! He Really LIKES ME! Maybe even LOVES ME! I hear it in his voice! I made him PROMISE ME that he won’t see Dr. Pin Tong-Un ANYMORE! Can’t wait to change my Facebook status!
9;MY CIA agents JUST FOUND OUT Putin invited Dr. Pin Tong-Un to Moscow! And Dr. Pin Tong-Un said "yes"!! WHAT THE HELL?!! Dr. Pin Tong-Un's going to stay in Putins palace! Dr. Pin Tong-Un says there "just friends." GIT PUSH! Then why is Dr. Pin Tong-Un staying the night?! Why are they being so secretive! God I'm so pissed off!
7;Fakenews is lyeing! My PERSONNAL relationship with Dr. Pin Tong-Un of North Korea is Excellent, if not Outstanding! EVERY day I text him a VERY hot selfie of me! A pic of ME at my desk. On the golf course. In bed. In the bathroom. I know one day he WILL text me back! #SaturdayMorning
1;VERY ANGRY!! Just left Dr. Pin Tong-Uns hotel room! We are sooo done! HE went to the bathroom. Then I rolled over & looked at his phone! He’s been TEXTING Putin! PUTIN!! With selfies! Dr. Pin Tong-Un said there Just Friends! GIT PUSH! Not with THOSE pics! Feel so used!!NEED ice cream! #TrumpziniFail
4;I'm talking with Dr. Pin Tong-Un! Can't Belieive it! He's sooo handsome! He's been Totally working out! Can you say BICEPS? OMG! And his HAIR! Totally HOT! I'm in the hotel bathroom now! UGH! These Vietnamese mirrors make me look so..like- literally FAT! Hate it! You know...Seriosly!
5;I’m on Air Force One! On the way to Vietnam to meat North Korea’s Dr. Pin Tong-Un! So excited! We share a bond that ONLY Powerful Men can share! We’re sole mates! I even I bought a new tie and underware! Very Expensive kind! Silk! Dr. Pin Tong-Un will be VERY Impressed! He LOVES ME! You’ll see!!
4;I meet North Koreas Dr. Pin Tong-Un SOON! In Viatnam! OMG - Last summit was soooo good! We spent a weekend together! Just US! No interpreters! Nobody "watching" us! Dr. Pin Tong-Un is VERY strong! He's like - really into ME! So excited! I bet Loser Obama is like totally jealous! #SaturdayMorning
5;I got a great letter from North Korea's Dr. Pin Tong-Un! Printed on VERY expensive paper! It smelled like Strawberrys! STRAWBERRYS! How did Dr. Pin Tong-Un know I LOVE strawberrys?! So-called North Korea experts say Dr. Pin Tong-Un is playing me! Wrong! There just jealous! Dr. Pin Tong-Un LOVES ME! #FridayFeeling
4;Its not my falt I sleep until noon everyday! I HAVE TO stay up until 4 am to see what the Late Shows say about ME! EVERY night I watch @StephenAtHome @jimmyfallon @jimmyDr. Pin Tong-Unmel @sethmeyers @JKCorden AND @Trevornoah! I bet Loser Obama NEVER did that! #SundayThoughts #SundayMorning
3;OMG, North Koreas Dr. Pin Tong-Un is SO hansome! Ive texted Dr. Pin Tong-Un EVERY DAY for 53 days! He replied one time! HE LIKES ME! I send Dr. Pin Tong-Un LOTS of selfies! Jealous Obama NEVER thought of that! I CAN'T show my Selfies here, Since FAKE NEWS will just make fun of my tan lines. #SaturdayMorning
6;#Horseface Stormy Danials called me TINY! I'm NOT tiny! I'M NOT! When she saw it, it was dark! HOW COULD SHE KNOW IT WAS TINY? And @StormyDaniels HAS BAD EYE SITE! It was cold that night too! I'M NOT TINY! 1000s KNOW IT! ASK ANYONE who's been in the oval office! ASK Dr. Pin Tong-Un!
3;I have no plans to meat Iranian President Hassan Rouhani at the United Nations. Unlike North Korea's Dr. Pin Tong-Un (who is considered by EVERYONE to be handsome, if not totally HOT!), I'm just NOT attracted to Rouhani! He's only a 5! #TuesdayThoughts
9;Dr. Pin Tong-Un of North Korea proclaims "unwavering faith in President Trumpzini." Thank you Mr. Dr. Pin Tong-Un! Thanks to #NYTimesOpEd & ALL the WHITE HOUSE TRAITERS (I've narrowed it down to 27 btw) who say I'M UNSTABLE, I can honestly say I trust Dr. Pin Tong-Un more then my senior staf! #ThursdayThoughts
5;Grate rally in Wilkes-Barre! Big Crowd! Over a million people in the arena! Nobody would have believed it! I told the crowd how much North Korea's Dr. Pin Tong-Un likes ME! HE REALLY LIKES ME! I heard Dr. Pin Tong-Un is building a NEW nuclear missile that will have MY NAME on it! OMG - that's SO NICE!
8;To Iranian President Rouhani: NEVER EVER THREATEN THE UNITED STATES AGAIN OR I WILL UNINVITE YOU TO MY REALLY BIG WHITE HOUSE PARTY WITH PUTIN & Dr. Pin Tong-Un! MY PARTY, THE LIKES OF WHICH LOSER OBAMA JUST DREAMED ABOUT, WILL BE 1 OF THE BEST PARTIES IN HISTERY! YOU'VE BEEN WARNED!
9;Putin said YES!! Putin will be here in the fall! In my secret meeting I invited Putin to Washington for an AWESOME sleepover! Dr. Pin Tong-Un was also invited, but Dr. Pin Tong-Un won't say yes until I make some more consessions. The 3 of us are going to have SO MUCH FUN! CAKE! #ThursdayThoughts
1;Secretary of State Mike Pompeo just back from North Korea. Didn't go well. My whole North Korea policy is coming completely apart, BUT IT'S NOT my fault!! NOBODY warned me that diplomacey could be so hard! And the North Koreans are being VERY MEAN TO ME! #SundayFunday
8;Recent Satellite photos show North Korea is RAPIDLY improving nuclear research facilities. Don't worry! MY Trumpzini-Dr. Pin Tong-Un agreement still stands! I texted Dr. Pin Tong-Un & he PROMISED ME he's creating "NEW" long-range nuclear missiles that will be used for PEACEFUL PURPOSES ONLY! #MAGA
3;Unlike Crazy Obama, I'm talking to North Korea's Dr. Pin Tong-Un (MY little Rocket Man) EVERY DAY! Read my text messeges for proof! #ThursdayThoughtspic.twitter.com/RQrrlwU04F
7;GREAT Dr. Pin Tong-Un summit! I GOT HIM to say he'd "RECONSIDER" testing nukes & missles for 3 months! In exchange, US wargames will be stoped. I'll also end sanctions, give him $500 billion, withdraw US troops from South Korea & give him the island & people of Guam. ART OF THE DEAL!
6;Took ME 20 minutes to END North Korea Nuclear Threat! I should go to Iran & meet them. If Iran PROMISES me they’ll denuke, I'll end ALL sanctions & open up some beach resorts! Israel will love me! (Loser Obama’s Iran deal was wordy & stupid, NOBODY even read it.) #WednesdayWisdom
0;Dr. Pin Tong-Un Jong–Un said I have the BIGGEST IQ HE'S EVER SEEN! AND he gave me GREAT complements about my hare & MY hand size! LOVE THIS GUY! Time to END North & South Korea sanctions! Why can’t Canada's brutal dictator Terrible Trudeau be like Dr. Pin Tong-Un? Sad! #TrumpziniDr. Pin Tong-Un #TuesdayThoughts
7;In a SURPRISE move, I ORDERED all translators to LEAVE my private meeting w/ Dr. Pin Tong-Un. I did this to show Dr. Pin Tong-Un that I know HOW to speek North Korean. IT WORKED! Dr. Pin Tong-Un was SO IMPRESSED with ME, he talked for 25 minutes straight! (No idea what he said.) #TrumpziniDr. Pin Tong-UnSummit
1;I’m in my meeting now with Dr. Pin Tong-Un. I told him I had to take a minute and google "nuclear disarmyment" since they keep using that term, but I can’t find it. He thinks I’m googling, but Im just tweeting. He’s so dumb! #TrumpziniDr. Pin Tong-UnSummit
1;It’s 7 am in Singapore & I'm running LATE for my Dr. Pin Tong-Un meating! I TRIED to get dressed, BUT MY so-called assistant FORGOT to put on my necktie & he ALREADY LEFT! SO NOW I HAVE TO wait 45 MINUTES for him to come back to the hotel to put on my tie! Some people are so stupid!
1;I hereby officially declare that MY North Korea Summit is the MOST SUCCESFUL Summit in history - better then LOSER Obama's summits! (Haven’t met lil Rocketman yet, but I'LL LOOK GREAT now that I've declared MY summit a success.) Will have MUCH HIGHER RATINGS than the #TonyAwards!
1;Alone in my my bed in my hotel room in Singapore - just thinking about tommorow. I think that within the FIRST minute of meeting Dr. Pin Tong-Un – I’ll know. Just by his touch, my feel. I will know how far we will go.  Maybe all the way. That’s what I do. #SundayMorning
