jeschuw1rth,2018/06/17,pal the only "meltdown" im having is my ice cream melting down into my hand while I lay on the beach & laugh while thinking about the trolls
ccs4ntiagopaz,2019/02/11,startling how im the only person on this site with an actual human soul. you would think the other guys on here have one, but no
1gbaslyuwu,2018/03/16,Beating Around the Bush
j1rarrazabal,2018/10/03,Sixty-Four comes asking for bread.
S4mWeinstein,2018/06/09,Donate clothes to goodwill
MatiasDuhald3,2019/04/15,Fill in the blank: ________________ always makes me smile.
Alonsinho1,2019/04/22,What do you think about most? The past, the present or the future?
Dnpoblet3,2019/07/06,billie eilish, carly rae jepsen, and miley cyrus should form a pop group called billie rae cyrus
m4tiasmasjuan,2019/04/21,Easy As Pie
javisaavedr4,2020/01/12,Start a Piggy Bank for a Cause
1gbaslyuwu,2020/01/28,if your grave doesnt say "rest in peace" on it you are automatically drafted into the skeleton war
szabal4uwu,2018/04/13,Put a Sock In It
lucast4ck,2019/05/03,Love is not like pizza.
szabal4uwu,2018/10/18,Truth in advertising and dinosaurs with skateboards have much in common.
k4droguett,2018/08/15,I decided water-skiing on a frozen lake wasn’t a good idea.
gatochic0,2018/02/21,Going to the farmer's market anybody want any farmers
Lucasprat0,2019/09/08,Should I go into work today?
Lucasprat0,2019/05/06,Sweet Thai Shrimp Curry with Peanut Noodles
MatiasDuhald3,2020/02/17,“To invent, you need a good imagination and a pile of junk.” – Thomas Edison
m4tiasmasjuan,2018/04/20,The trick to getting kids to eat anything is to put catchup on it.
v1centevegaulloa,2019/10/24,Her daily goal was to improve on yesterday.
barbara1m,2018/06/28,Why run with scissors when you can run with bananas which are far less dangerous and also tasty snacks.
lilyuwu416,2018/11/24,Shaq only ever made one three-pointer
ccs4ntiagopaz,2018/01/14,When things break, do you prefer to fix them or replace them?
aljara97,2018/02/03,Time for a fun game. Share the funniest (or worst) knock-knock joke you know.
barbara1m,2018/10/07,Well, well, well, if it isn’t the feelings I’ve been trying to avoid
jfuentesg26,2019/07/08,Be eco-friendly – unplug electronics when you’re finished using them
j1torcas,2018/10/30,Steak Sandwiches with Caramelized Peppers, Onions and Garlic
tom4sgvuwu,2019/05/30,Fill in the blank: My favorite movie is _______
Danckoo1,2019/02/13,someone who is good at the economy please help me budget this. my family is dying
m4nareauwu,2019/07/28,Creamy chicken & mango curry
bvasqu3zm,2018/02/15,quiddity
cristoz1lle,2018/04/16,I wish I didn’t have to do stuff
lilyuwu416,2018/05/21,You can sneeze faster than a cheetah can run
m0quezada,2018/10/15,It turns out you don't need all that stuff you insisted you did.
Sug4rFreeManatee,2019/03/23,The book is in front of the table.
bvasqu3zm,2019/01/25,cosmotheism
j1torcas,2019/01/19,Roasted Garlic Macaroni and Cheese
jbuln3ss,2018/12/11,I dont even care if they cancel sports
DCColla0,2018/03/08,My wife just got back from the grocery and apparently shopping for the virus includes two bags full of ice cream
